見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「産業と美術のあいだで　印刷術が拓（ひら）いた楽園」,展示,～6月24日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018-春夏 特集「庭園の眺め　高橋力雄の木版画」／「滋賀県立近代美術館所蔵　院展の画家たちⅡ」,展示,～7月8日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「紀伊徳川家　やきもの新時代－富国と栄華の19世紀－」,展示,～6月3日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「博物館でいきものめぐり」,展示,月9日（土）～7月8日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,春期企画展「鏃（やじり）と剣－弥生時代と古墳時代の戦い－」 ,展示,～5月13日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,前山A58号墳の実物大の埴輪（はにわ）を作ろう(2),イベント,6月16日（土）10:00～16:30,,中学生以上,15人（先着順）,(初回）350円 ,5月31日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,昆虫標本を作ってみよう,イベント,5月27日（日）10:00～15:00,大川周辺（和歌山市）,小学生以上（小学生は保護者同伴）,15人（抽選）,500円 , 5月13日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,身近な昆虫をさがそう,イベント,6月2日（土）10:00～14:00,紀伊風土記の丘（和歌山市）,小学生以上（小学生は保護者同伴）,20人（抽選）,,5月19日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,5月12・19日、6月9日（土）14:00～6月2日（土）11:00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ダニエル・オッテンザマー　クラリネットリサイタル,イベント,5月23日（水）19:00～21:00,,,250名（先着順）,"4,000円（前売3,000円）",,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉講座「万葉集を楽しもう　紀伊万葉かるた」,イベント,5月27日（日）13:30～15:00,,18歳以上,30人（先着順） ,500円,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「幼児＆小学生のはじめての英会話」,イベント,6月3日（日）15:00～16:00,,3歳～小学生（保護者同伴）,20人（先着順）,500円,事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「楽しいお手玉教室」,イベント,6月10日（日）10:30～12:00、13:00～14:30,,3歳以上（小学生以下は保護者同伴）,各20人（先着順）,500円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,石斛（せっこく）・富貴蘭植替え教室,イベント,5月12(土)13:00～16:00,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,黒潮愛蘭会・春の展示会,展示,5月12日(土)～13日(日),,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,絵手紙展と体験教室,イベント,5月12日(土)～20日(日),,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,フラ・フェスティバル,イベント,5月13日(日)10:00～16:00,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会,イベント,5月10日（木）・13日（日）・20日（日）・27日（日）11:00～6月2日（土）・10日（日）・24日（日）11:00～,,,,,"譲渡会は常時開催しています。譲渡を受けるには受講と、犬の場合は狂犬病予防注射代2,640円が必要です。",入場無料
